pair1	pair2	burnin	say	sender	sent	guess	correct	sendtime	guesstime	isbaseline	stimn
abdomen	tax	TRUE	abdomen	1	niwa	tax	FALSE	2020-04-18 14:02:08	2020-04-18 14:02:15	FALSE	1
journey	zone	TRUE	journey	2	leho	zone	FALSE	2020-04-18 14:02:22	2020-04-18 14:02:43	FALSE	1
grade	music	TRUE	grade	1	leho	music	FALSE	2020-04-18 14:03:21	2020-04-18 14:03:29	FALSE	1
dentist	music	TRUE	dentist	2	paqu	dentist	TRUE	2020-04-18 14:03:37	2020-04-18 14:03:56	FALSE	1
tax	music	TRUE	tax	1	soqa	music	FALSE	2020-04-18 14:04:19	2020-04-18 14:04:22	FALSE	1
abdomen	music	TRUE	music	2	wusa	abdomen	FALSE	2020-04-18 14:04:32	2020-04-18 14:04:53	FALSE	1
belly	zone	TRUE	belly	1	wusa	belly	TRUE	2020-04-18 14:05:29	2020-04-18 14:05:34	FALSE	1
trip	dentist	TRUE	trip	2	huwo	trip	TRUE	2020-04-18 14:05:49	2020-04-18 14:06:15	FALSE	1
belly	abdomen	TRUE	belly	1	qolu	abdomen	FALSE	2020-04-18 14:06:51	2020-04-18 14:06:56	FALSE	1
abdomen	zone	TRUE	zone	2	leho	abdomen	FALSE	2020-04-18 14:07:06	2020-04-18 14:07:25	FALSE	1
journey	belly	TRUE	journey	1	qolu	belly	FALSE	2020-04-18 14:07:46	2020-04-18 14:07:53	FALSE	1
belly	abdomen	TRUE	abdomen	2	soqa	belly	FALSE	2020-04-18 14:08:00	2020-04-18 14:08:33	FALSE	1
journey	trip	TRUE	trip	1	soqa	journey	FALSE	2020-04-18 14:08:51	2020-04-18 14:08:57	FALSE	1
tax	music	TRUE	tax	2	paqu	tax	TRUE	2020-04-18 14:09:09	2020-04-18 14:09:13	FALSE	1
trip	music	TRUE	music	1	niwa	music	TRUE	2020-04-18 14:09:20	2020-04-18 14:09:29	FALSE	1
grade	tax	TRUE	grade	2	huwo	grade	TRUE	2020-04-18 14:09:38	2020-04-18 14:09:41	FALSE	1
dentist	grade	TRUE	dentist	1	huwo	grade	FALSE	2020-04-18 14:09:56	2020-04-18 14:09:59	FALSE	1
trip	zone	TRUE	zone	2	soqa	trip	FALSE	2020-04-18 14:10:12	2020-04-18 14:10:15	FALSE	1
area	tax	TRUE	area	1	huwo	area	TRUE	2020-04-18 14:10:29	2020-04-18 14:10:37	FALSE	1
dentist	grade	TRUE	dentist	2	qolu	grade	FALSE	2020-04-18 14:10:47	2020-04-18 14:10:53	FALSE	1
area	zone	TRUE	area	1	huwo	area	TRUE	2020-04-18 14:10:59	2020-04-18 14:11:01	FALSE	1
journey	trip	TRUE	journey	2	wusa	trip	FALSE	2020-04-18 14:11:10	2020-04-18 14:11:18	FALSE	1
belly	abdomen	TRUE	belly	1	huwo	abdomen	FALSE	2020-04-18 14:11:32	2020-04-18 14:11:37	FALSE	1
journey	area	TRUE	area	2	huwo	area	TRUE	2020-04-18 14:11:48	2020-04-18 14:11:54	FALSE	1
journey	trip	TRUE	trip	1	soqa	journey	FALSE	2020-04-18 14:12:03	2020-04-18 14:12:07	FALSE	1
journey	trip	TRUE	journey	2	leho	trip	FALSE	2020-04-18 14:12:18	2020-04-18 14:12:22	FALSE	1
zone	dentist	TRUE	zone	1	qolu	zone	TRUE	2020-04-18 14:12:37	2020-04-18 14:12:44	FALSE	1
journey	grade	TRUE	grade	2	huwo	grade	TRUE	2020-04-18 14:12:58	2020-04-18 14:13:02	FALSE	1
abdomen	dentist	TRUE	abdomen	1	huwo	abdomen	TRUE	2020-04-18 14:13:14	2020-04-18 14:13:18	FALSE	1
belly	tax	TRUE	tax	2	paqu	tax	TRUE	2020-04-18 14:13:27	2020-04-18 14:13:38	FALSE	1
trip	tax	TRUE	trip	1	niwa	trip	TRUE	2020-04-18 14:13:48	2020-04-18 14:13:55	FALSE	1
trip	belly	TRUE	belly	2	huwo	trip	FALSE	2020-04-18 14:14:04	2020-04-18 14:14:08	FALSE	1
belly	dentist	TRUE	dentist	1	huwo	belly	FALSE	2020-04-18 14:14:22	2020-04-18 14:14:25	FALSE	1
dentist	music	TRUE	music	2	niwa	music	TRUE	2020-04-18 14:14:32	2020-04-18 14:14:34	FALSE	1
belly	music	TRUE	music	1	niwa	music	TRUE	2020-04-18 14:14:44	2020-04-18 14:14:47	FALSE	1
dentist	tax	TRUE	tax	2	paqu	dentist	FALSE	2020-04-18 14:14:55	2020-04-18 14:15:02	FALSE	1
zone	music	TRUE	zone	1	soqa	zone	TRUE	2020-04-18 14:15:13	2020-04-18 14:15:19	FALSE	1
area	grade	TRUE	area	2	huwo	grade	FALSE	2020-04-18 14:15:31	2020-04-18 14:15:36	FALSE	1
area	zone	TRUE	area	1	huwo	area	TRUE	2020-04-18 14:15:43	2020-04-18 14:15:48	FALSE	1
journey	tax	TRUE	journey	2	wusa	tax	FALSE	2020-04-18 14:15:59	2020-04-18 14:16:09	FALSE	1
grade	tax	TRUE	grade	1	huwo	grade	TRUE	2020-04-18 14:16:18	2020-04-18 14:16:21	FALSE	1
area	zone	TRUE	zone	2	qolu	zone	TRUE	2020-04-18 14:16:29	2020-04-18 14:16:31	FALSE	1
zone	grade	TRUE	grade	1	huwo	grade	TRUE	2020-04-18 14:16:36	2020-04-18 14:16:40	FALSE	1
area	zone	TRUE	area	2	huwo	area	TRUE	2020-04-18 14:16:48	2020-04-18 14:16:52	FALSE	1
trip	abdomen	TRUE	abdomen	1	huwo	abdomen	TRUE	2020-04-18 14:17:00	2020-04-18 14:17:09	FALSE	1
journey	trip	FALSE	trip	2	soqa	trip	TRUE	2020-04-18 14:17:17	2020-04-18 14:17:20	FALSE	1
trip	area	FALSE	area	1	huwo	area	TRUE	2020-04-18 14:17:26	2020-04-18 14:17:36	FALSE	1
journey	dentist	FALSE	journey	2	wusa	journey	TRUE	2020-04-18 14:17:44	2020-04-18 14:17:48	FALSE	1
area	dentist	FALSE	area	1	huwo	area	TRUE	2020-04-18 14:17:52	2020-04-18 14:17:57	FALSE	1
dentist	grade	FALSE	dentist	2	leho	grade	FALSE	2020-04-18 14:18:06	2020-04-18 14:18:09	FALSE	1
belly	abdomen	FALSE	abdomen	1	huwo	abdomen	TRUE	2020-04-18 14:18:14	2020-04-18 14:18:18	FALSE	1
belly	music	FALSE	music	2	niwa	music	TRUE	2020-04-18 14:18:23	2020-04-18 14:18:27	FALSE	1
zone	tax	FALSE	zone	1	wusa	zone	TRUE	2020-04-18 14:18:39	2020-04-18 14:18:51	FALSE	1
dentist	tax	FALSE	dentist	2	leho	dentist	TRUE	2020-04-18 14:18:58	2020-04-18 14:19:02	FALSE	1
trip	dentist	FALSE	dentist	1	leho	dentist	TRUE	2020-04-18 14:19:08	2020-04-18 14:19:11	FALSE	1
abdomen	grade	FALSE	abdomen	2	huwo	grade	FALSE	2020-04-18 14:19:20	2020-04-18 14:19:24	FALSE	1
zone	music	FALSE	music	1	niwa	music	TRUE	2020-04-18 14:19:32	2020-04-18 14:19:33	FALSE	1
grade	tax	FALSE	grade	2	huwo	grade	TRUE	2020-04-18 14:19:40	2020-04-18 14:19:43	FALSE	1
belly	abdomen	FALSE	belly	1	leho	abdomen	FALSE	2020-04-18 14:19:56	2020-04-18 14:20:01	FALSE	1
area	zone	FALSE	area	2	huwo	area	TRUE	2020-04-18 14:20:10	2020-04-18 14:20:13	FALSE	1
journey	dentist	FALSE	dentist	1	leho	dentist	TRUE	2020-04-18 14:20:18	2020-04-18 14:20:21	FALSE	1
dentist	music	FALSE	dentist	2	leho	dentist	TRUE	2020-04-18 14:20:32	2020-04-18 14:20:35	FALSE	1
belly	grade	FALSE	belly	1	qolu	belly	TRUE	2020-04-18 14:20:51	2020-04-18 14:20:58	FALSE	1
area	zone	FALSE	zone	2	qolu	zone	TRUE	2020-04-18 14:21:06	2020-04-18 14:21:13	FALSE	1
journey	belly	FALSE	journey	1	leho	belly	FALSE	2020-04-18 14:21:28	2020-04-18 14:21:35	FALSE	1
grade	music	FALSE	grade	2	huwo	grade	TRUE	2020-04-18 14:21:43	2020-04-18 14:21:46	FALSE	1
area	zone	FALSE	area	1	huwo	area	TRUE	2020-04-18 14:21:53	2020-04-18 14:21:56	FALSE	1
journey	music	FALSE	music	2	niwa	music	TRUE	2020-04-18 14:22:01	2020-04-18 14:22:03	FALSE	1
belly	grade	FALSE	grade	1	huwo	belly	FALSE	2020-04-18 14:22:08	2020-04-18 14:22:14	FALSE	1
belly	abdomen	FALSE	abdomen	2	huwo	belly	FALSE	2020-04-18 14:22:20	2020-04-18 14:22:24	FALSE	1
dentist	tax	FALSE	tax	1	soqa	tax	TRUE	2020-04-18 14:22:30	2020-04-18 14:22:36	FALSE	1
journey	trip	FALSE	trip	2	niwa	journey	FALSE	2020-04-18 14:22:47	2020-04-18 14:22:51	FALSE	1
journey	abdomen	FALSE	journey	1	niwa	abdomen	FALSE	2020-04-18 14:22:58	2020-04-18 14:23:06	FALSE	1
dentist	grade	FALSE	dentist	2	leho	grade	FALSE	2020-04-18 14:23:21	2020-04-18 14:23:25	FALSE	1
belly	abdomen	FALSE	belly	1	leho	belly	TRUE	2020-04-18 14:23:39	2020-04-18 14:23:43	FALSE	1
area	zone	FALSE	area	2	huwo	area	TRUE	2020-04-18 14:23:52	2020-04-18 14:23:55	FALSE	1
dentist	grade	FALSE	dentist	1	niwa	grade	FALSE	2020-04-18 14:24:01	2020-04-18 14:24:05	FALSE	1
abdomen	grade	FALSE	abdomen	2	huwo	grade	FALSE	2020-04-18 14:24:13	2020-04-18 14:24:16	FALSE	1
journey	tax	FALSE	journey	1	leho	journey	TRUE	2020-04-18 14:24:26	2020-04-18 14:24:33	FALSE	1
dentist	music	FALSE	music	2	niwa	music	TRUE	2020-04-18 14:24:39	2020-04-18 14:24:42	FALSE	1
zone	dentist	FALSE	zone	1	qolu	zone	TRUE	2020-04-18 14:24:55	2020-04-18 14:24:58	FALSE	1
abdomen	zone	FALSE	abdomen	2	huwo	abdomen	TRUE	2020-04-18 14:25:06	2020-04-18 14:25:09	FALSE	1
abdomen	area	FALSE	abdomen	1	huwo	area	FALSE	2020-04-18 14:25:14	2020-04-18 14:25:18	FALSE	1
belly	abdomen	FALSE	belly	2	wusa	belly	TRUE	2020-04-18 14:25:27	2020-04-18 14:25:31	FALSE	1
abdomen	area	FALSE	abdomen	1	qolu	abdomen	TRUE	2020-04-18 14:25:43	2020-04-18 14:25:51	FALSE	1
grade	music	FALSE	grade	2	huwo	grade	TRUE	2020-04-18 14:25:59	2020-04-18 14:26:03	FALSE	1
trip	belly	FALSE	trip	1	soqa	trip	TRUE	2020-04-18 14:26:08	2020-04-18 14:26:12	FALSE	1
journey	trip	FALSE	trip	2	soqa	trip	TRUE	2020-04-18 14:26:21	2020-04-18 14:26:25	FALSE	1
journey	music	FALSE	journey	1	huwo	journey	TRUE	2020-04-18 14:26:36	2020-04-18 14:26:43	FALSE	1
journey	trip	FALSE	journey	2	huwo	journey	TRUE	2020-04-18 14:26:50	2020-04-18 14:26:52	FALSE	1
dentist	music	FALSE	music	1	niwa	music	TRUE	2020-04-18 14:26:57	2020-04-18 14:27:01	FALSE	1
area	grade	FALSE	grade	2	huwo	grade	TRUE	2020-04-18 14:27:07	2020-04-18 14:27:10	FALSE	1
journey	zone	FALSE	zone	1	wusa	journey	FALSE	2020-04-18 14:27:19	2020-04-18 14:27:27	FALSE	1
tax	music	FALSE	tax	2	soqa	tax	TRUE	2020-04-18 14:27:36	2020-04-18 14:27:38	FALSE	1
trip	abdomen	FALSE	trip	1	soqa	trip	TRUE	2020-04-18 14:27:43	2020-04-18 14:27:53	FALSE	1
area	tax	FALSE	area	2	huwo	tax	FALSE	2020-04-18 14:28:05	2020-04-18 14:28:09	FALSE	1
trip	grade	FALSE	trip	1	soqa	trip	TRUE	2020-04-18 14:28:14	2020-04-18 14:28:18	FALSE	1
grade	music	FALSE	music	2	niwa	music	TRUE	2020-04-18 14:28:22	2020-04-18 14:28:25	FALSE	1
journey	abdomen	FALSE	journey	1	leho	journey	TRUE	2020-04-18 14:28:35	2020-04-18 14:28:39	FALSE	1
trip	music	FALSE	music	2	niwa	music	TRUE	2020-04-18 14:28:43	2020-04-18 14:28:46	FALSE	1
abdomen	music	FALSE	abdomen	1	huwo	abdomen	TRUE	2020-04-18 14:28:53	2020-04-18 14:29:03	FALSE	1
belly	zone	FALSE	zone	2	soqa	belly	FALSE	2020-04-18 14:29:13	2020-04-18 14:29:19	FALSE	1
dentist	tax	FALSE	tax	1	soqa	dentist	FALSE	2020-04-18 14:29:24	2020-04-18 14:29:30	FALSE	1
belly	abdomen	FALSE	belly	2	leho	abdomen	FALSE	2020-04-18 14:29:43	2020-04-18 14:29:46	FALSE	1
belly	abdomen	FALSE	belly	1	leho	belly	TRUE	2020-04-18 14:29:50	2020-04-18 14:29:54	FALSE	1
trip	area	FALSE	trip	2	soqa	trip	TRUE	2020-04-18 14:30:04	2020-04-18 14:30:06	FALSE	1
grade	music	FALSE	grade	1	huwo	grade	TRUE	2020-04-18 14:30:13	2020-04-18 14:30:20	FALSE	1
belly	abdomen	FALSE	belly	2	leho	belly	TRUE	2020-04-18 14:30:28	2020-04-18 14:30:31	FALSE	1
belly	area	FALSE	belly	1	leho	belly	TRUE	2020-04-18 14:30:36	2020-04-18 14:30:38	FALSE	1
journey	trip	FALSE	journey	2	leho	journey	TRUE	2020-04-18 14:30:46	2020-04-18 14:30:48	FALSE	1
journey	trip	FALSE	journey	1	leho	journey	TRUE	2020-04-18 14:30:52	2020-04-18 14:30:55	FALSE	1
tax	music	FALSE	tax	2	soqa	tax	TRUE	2020-04-18 14:31:02	2020-04-18 14:31:05	FALSE	1
journey	area	FALSE	area	1	huwo	area	TRUE	2020-04-18 14:31:11	2020-04-18 14:31:15	FALSE	1
grade	tax	FALSE	grade	2	huwo	grade	TRUE	2020-04-18 14:31:22	2020-04-18 14:31:24	FALSE	1
area	zone	FALSE	zone	1	wusa	zone	TRUE	2020-04-18 14:31:30	2020-04-18 14:31:39	FALSE	1
dentist	tax	FALSE	tax	2	paqu	tax	TRUE	2020-04-18 14:31:47	2020-04-18 14:31:51	FALSE	1
trip	grade	FALSE	trip	1	soqa	trip	TRUE	2020-04-18 14:31:55	2020-04-18 14:32:01	FALSE	1
grade	tax	FALSE	grade	2	huwo	grade	TRUE	2020-04-18 14:32:10	2020-04-18 14:32:19	FALSE	1
journey	trip	FALSE	journey	1	leho	journey	TRUE	2020-04-18 14:32:23	2020-04-18 14:32:27	FALSE	1
trip	zone	FALSE	zone	2	qolu	zone	TRUE	2020-04-18 14:32:37	2020-04-18 14:32:39	FALSE	1
journey	grade	FALSE	grade	1	huwo	grade	TRUE	2020-04-18 14:32:44	2020-04-18 14:32:50	FALSE	1
tax	music	FALSE	tax	2	paqu	tax	TRUE	2020-04-18 14:32:57	2020-04-18 14:33:02	FALSE	1
zone	grade	FALSE	zone	1	wusa	zone	TRUE	2020-04-18 14:33:08	2020-04-18 14:33:12	FALSE	1
area	music	FALSE	music	2	niwa	music	TRUE	2020-04-18 14:33:15	2020-04-18 14:33:18	FALSE	1
area	zone	FALSE	zone	1	wusa	zone	TRUE	2020-04-18 14:33:22	2020-04-18 14:33:26	FALSE	1
area	music	FALSE	area	2	huwo	area	TRUE	2020-04-18 14:33:32	2020-04-18 14:33:35	FALSE	1
zone	tax	FALSE	tax	1	soqa	zone	FALSE	2020-04-18 14:33:40	2020-04-18 14:33:42	FALSE	1
abdomen	tax	FALSE	abdomen	2	qolu	tax	FALSE	2020-04-18 14:33:51	2020-04-18 14:33:54	FALSE	1
abdomen	dentist	FALSE	dentist	1	leho	dentist	TRUE	2020-04-18 14:34:03	2020-04-18 14:34:08	FALSE	1
belly	tax	FALSE	tax	2	soqa	tax	TRUE	2020-04-18 14:34:15	2020-04-18 14:34:18	FALSE	1
trip	tax	FALSE	trip	1	paqu	tax	FALSE	2020-04-18 14:34:26	2020-04-18 14:34:31	FALSE	1
area	dentist	FALSE	area	2	huwo	area	TRUE	2020-04-18 14:34:36	2020-04-18 14:34:38	FALSE	1
belly	dentist	FALSE	dentist	1	leho	belly	FALSE	2020-04-18 14:34:44	2020-04-18 14:34:46	FALSE	1
belly	area	FALSE	belly	2	qolu	belly	TRUE	2020-04-18 14:34:57	2020-04-18 14:35:02	FALSE	1
area	zone	FALSE	area	1	huwo	area	TRUE	2020-04-18 14:35:10	2020-04-18 14:35:12	FALSE	1
